Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
151,7.55,-0.023599336,-0.009252088,-1.3521422,-0.5301056,1423,773,145.70416
152,7.6,-0.027966656,0.011724567,-1.6023712,0.6717682,1450,652,145.70416
153,7.65,-0.02745959,0.023072563,-1.5733185,1.3219604,1447,587,145.70416
154,7.7,-0.018236795,0.017890317,-1.0448914,1.0250397,1390,617,145.70416
155,7.75,-0.005141499,0.015606124,-0.29458618,0.894165,1311,630,145.70416
156,7.8,-0.021380125,-0.014488395,-1.2249908,-0.83012384,1403,798,138.05728
157,7.85,-0.026779683,-0.017723339,-1.5343628,-1.0154724,1434,816,138.05728
158,7.9,-0.024678182,-0.021185447,-1.4139556,-1.2138366,1422,835,138.05728
159,7.95,-0.024256606,-0.021367874,-1.389801,-1.224289,1419,836,138.05728
160,8.0,-0.026158102,-0.026634542,-1.4987488,-1.5260468,1430,864,138.05728
161,8.05,-0.024330107,-0.02551202,-1.3940125,-1.461731,1420,858,138.05728
162,8.1,-0.026197784,-0.021543643,-1.5010223,-1.2343597,1431,837,138.05728
163,8.15,-0.028571192,-0.023372969,-1.6370087,-1.3391724,1444,846,138.05728
164,8.2,-0.027245203,-0.01707406,-1.561035,-0.9782715,1437,812,138.05728
165,8.25,-0.03195793,-0.0138444435,-1.8310546,-0.79322815,1464,795,138.05728
166,8.3,-0.036426984,-0.0085964175,-2.0871124,-0.49253842,1490,766,138.05728
167,8.35,-0.030828487,0.0040586577,-1.7663422,0.23254395,1457,697,138.05728
168,8.4,-0.03154461,-0.015873507,-1.8073729,-0.90948486,1461,806,138.05728
169,8.45,-0.013753897,-0.009371931,-0.78804016,-0.53697205,1359,770,138.05728
170,8.5,-0.035257593,-0.021116205,-2.020111,-1.2098694,1483,834,138.05728
171,8.55,-0.032779254,-0.0181561,-1.8781128,-1.0402678,1469,818,138.05728
172,8.6,-0.02510722,-0.002463424,-1.4385376,-0.1411438,1432,734,145.70416
173,8.65,-0.024605745,-0.0034740937,-1.4098053,-0.1990509,1429,739,145.70416
174,8.7,-0.022296784,-0.003933223,-1.2775116,-0.22535707,1415,742,145.70416
175,8.75,-0.040299755,-0.017502561,-2.3090057,-1.0028229,1511,814,137.48875
176,8.8,-0.026727486,-0.025152758,-1.5313721,-1.4411467,1433,856,137.48875
177,8.85,-0.03770983,-0.0163329,-2.160614,-0.9358062,1496,808,137.48875
178,8.9,-0.041929606,-0.0056174058,-2.4023893,-0.32185364,1520,750,137.48875
179,8.95,-0.05715064,0.01369504,-3.2744904,0.7846679,1608,645,137.48875
180,9.0,-0.047305197,-8.229168e-05,-2.710388,-0.0047149654,1568,720,145.70416
181,9.05,-0.051084492,0.008166317,-2.9269257,0.46789548,1591,673,145.70416
182,9.1,-0.045029793,0.013528858,-2.5800169,0.7751464,1554,642,145.70416
183,9.15,-0.040969007,0.0002876214,-2.347351,0.016479492,1529,718,145.70416
184,9.2,-0.050592072,0.0037284256,-2.8987122,0.21362303,1588,698,145.70416
185,9.25,-0.049627744,-0.0027462516,-2.84346,-0.15734862,1582,735,145.70416
186,9.3,-0.051737763,-0.0011563445,-2.9643552,-0.06625366,1595,726,145.70416
187,9.35,-0.047572847,0.0006239787,-2.7257233,0.035751343,1569,716,145.70416
188,9.4,-0.039845683,-0.0071623055,-2.2829893,-0.41036984,1522,761,145.70416
189,9.45,-0.039847285,-0.0030237532,-2.283081,-0.17324829,1522,737,145.70416
190,9.5,-0.038816374,-0.0013262542,-2.2240143,-0.07598876,1516,727,145.70416
191,9.55,-0.036774796,-0.0073292856,-2.1070404,-0.4199371,1503,762,145.70416
192,9.6,-0.048805095,-0.008991897,-2.796326,-0.51519775,1577,771,145.70416
193,9.65,-0.05293485,-0.013117667,-3.0329435,-0.7515869,1602,795,145.70416
194,9.7,-0.051656537,-0.011891014,-2.9597013,-0.6813049,1594,788,145.70416
195,9.75,-0.061711837,-0.010598583,-3.5358276,-0.607254,1655,780,145.70416
196,9.8,-0.062176827,-0.016527312,-3.5624695,-0.9469452,1658,814,145.70416
197,9.85,-0.056894712,-0.010744791,-3.2598267,-0.6156311,1624,781,145.03629
198,9.9,-0.032386437,-0.005448029,-1.8556061,-0.31214905,1476,751,145.03629
199,9.95,-0.03330789,0.006943127,-1.9084015,0.39781186,1481,680,145.03629
200,10.0,-0.039034486,0.010629475,-2.2365112,0.60902405,1516,659,145.03629
201,10.05,-0.041178066,0.008060323,-2.3593292,0.46182248,1529,674,145.03629
202,10.1,-0.043674245,0.008707738,-2.5023499,0.4989166,1544,670,145.03629
203,10.15,-0.053249374,-0.0088440925,-3.050964,-0.5067291,1602,770,145.03629
204,10.2,-0.042035602,0.016066585,-2.4084625,0.9205474,1534,628,145.03629
205,10.25,-0.040189765,0.028402615,-2.3027039,1.6273499,1523,557,145.03629
206,10.3,-0.045323543,0.021269603,-2.5968475,1.2186584,1554,598,145.03629
207,10.35,-0.04087899,0.01581465,-2.3421934,0.9061127,1527,629,145.03629
208,10.4,-0.041789792,-0.0073710973,-2.3943787,-0.42233273,1533,762,145.03629
209,10.45,-0.045708634,-0.004028031,-2.6189117,-0.23078917,1557,742,145.03629
210,10.5,-0.049531337,-0.0065822694,-2.8379364,-0.37713623,1562,755,136.55663
211,10.55,-0.037001964,0.0026977821,-2.1200562,0.15457152,1491,705,136.55663
212,10.6,-0.04184359,-0.00055953016,-2.397461,-0.032058716,1534,723,145.70416
213,10.65,-0.03769545,-0.00052464276,-2.15979,-0.030059814,1509,723,145.70416
214,10.7,-0.034185935,-0.0029531794,-1.9587097,-0.16920471,1488,736,145.70416
215,10.75,-0.03747334,-4.6339006e-05,-2.147064,-0.0026550293,1508,720,145.70416
216,10.8,-0.049845323,0.011211376,-2.8559265,0.6423645,1582,656,145.03629
217,10.85,-0.05560228,0.0056709354,-3.1857758,0.32492065,1617,687,145.03629
218,10.9,-0.054966047,-0.012454272,-3.1493223,-0.7135772,1597,787,138.05728
219,10.95,-0.056927998,0.00060214073,-3.2617338,0.034500122,1625,716,145.03629
220,11.0,-0.070654735,-0.005833654,-4.048218,-0.33424374,1688,751,138.05728
221,11.05,-0.06563813,-0.0073649725,-3.7607877,-0.4219818,1658,760,138.05728
222,11.1,-0.06303649,0.0066155586,-3.6117244,0.37904358,1643,684,138.05728
223,11.15,-0.047198143,0.010748252,-2.7042542,0.61582947,1552,661,138.05728
224,11.2,-0.055921055,0.0046842345,-3.2040403,0.26838684,1602,694,138.05728
225,11.25,-0.055694155,0.019902337,-3.1910398,1.1403198,1600,612,137.48875
226,11.3,-0.052652024,0.024240626,-3.0167387,1.3888855,1583,588,138.05728
227,11.35,-0.06345994,0.02080355,-3.6359866,1.1919556,1646,606,138.05728
228,11.4,-0.065677546,0.0025108282,-3.763046,0.14385985,1659,706,138.05728
229,11.45,-0.065875955,0.013261211,-3.774414,0.7598114,1660,647,138.05728
230,11.5,-0.053216618,0.013859623,-3.0490875,0.79409784,1587,644,138.05728
231,11.55,-0.05257373,0.011201789,-3.0122526,0.6418152,1583,659,138.05728
232,11.6,-0.049895387,0.002524144,-2.858795,0.14462279,1567,706,138.05728
233,11.65,-0.04326678,0.0053569484,-2.479004,0.3069305,1529,690,138.05728
234,11.7,-0.05819886,0.0046213837,-3.334549,0.26478577,1615,694,138.05728
235,11.75,-0.051072773,0.005423794,-2.9262543,0.3107605,1574,690,138.05728
236,11.8,-0.06152009,-0.013400228,-3.5248413,-0.7677764,1635,792,138.05728
237,11.85,-0.11243281,-0.0037446707,-6.441925,-0.21455382,1930,740,138.05728
238,11.9,-0.10855391,-0.041888062,-6.2196803,-2.400009,1908,947,138.05728
239,11.95,-0.124248184,0.028520592,-7.118896,1.6341094,1961,573,130.68416
240,12.0,-0.097368896,0.026163695,-5.5788264,1.4990692,1813,585,130.68416
241,12.05,-0.09920781,0.05525873,-5.6841884,3.1660917,1823,435,130.68416
242,12.1,-0.08601904,0.038989745,-4.928528,2.2339478,1750,519,130.68416
243,12.15,-0.0860723,0.028878521,-4.9315796,1.6546173,1750,571,130.68416
244,12.2,-0.073031336,0.02829822,-4.184387,1.6213684,1679,574,130.68416
245,12.25,-0.074080355,0.020809941,-4.2444916,1.1923218,1685,612,130.68416
