Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
115,5.75,0.05309784,0.042638544,3.042282,2.4430084,974,489,137.48875
116,5.8,0.06044577,0.032992836,3.4632874,1.8903501,932,541,137.48875
117,5.85,0.06026494,0.052621666,3.4529266,3.0149992,933,435,137.48875
118,5.9,0.057627343,0.04857952,3.3018034,2.7834015,948,457,137.48875
119,5.95,0.081068486,0.028927257,4.6448817,1.6574097,813,563,137.48875
120,6.0,0.05537165,0.05224962,3.1725616,2.9936826,959,435,138.24837
121,6.05,0.06952023,0.020063989,3.9832153,1.1495818,877,610,138.24837
122,6.1,0.03847096,0.046952862,2.2042236,2.6902008,1057,464,138.24837
123,6.15,0.0433307,0.02517273,2.482666,1.4422911,1031,583,137.48875
124,6.2,0.03402854,0.023155123,1.9496917,1.3266908,1093,600,131.17209
125,6.25,0.03323652,0.014232466,1.9043121,0.8154602,1097,646,131.17209
126,6.3,0.029867886,0.022718363,1.7113037,1.3016663,1116,602,131.17209
127,6.35,0.03352574,0.025018267,1.9208832,1.433441,1096,590,131.17209
128,6.4,0.028126178,0.030738737,1.6115112,1.7611998,1125,561,131.17209
129,6.45,0.022196915,0.041121606,1.2717894,2.3560944,1158,507,131.17209
130,6.5,0.030770164,0.03521738,1.7630005,2.017807,1111,538,131.17209
131,6.55,0.03172997,0.045055628,1.8179933,2.5814972,1106,487,131.17209
132,6.6,0.05326349,0.027793283,3.051773,1.5924377,987,576,131.17209
133,6.65,0.052668005,0.021648837,3.0176542,1.240387,991,608,131.17209
134,6.7,0.041117877,0.027420174,2.3558807,1.5710602,1054,578,131.17209
135,6.75,0.049321212,0.03320909,2.8258972,1.9027406,995,539,138.05728
136,6.8,0.05236893,0.017687919,3.0005186,1.013443,979,624,137.48875
137,6.85,0.05928037,0.013410615,3.396515,0.7683716,939,647,137.48875
138,6.9,0.04957874,0.026417226,2.8406525,1.5135955,995,577,137.48875
139,6.95,0.04283029,0.031097468,2.4539945,1.7817535,1033,551,137.48875
140,7.0,0.035722844,0.025661688,2.0467682,1.4703064,1074,581,137.48875
141,7.05,0.03198723,0.038464304,1.8327333,2.2038422,1096,511,137.48875
142,7.1,0.050258912,0.036336437,2.8796234,2.0819244,991,523,137.48875
143,7.15,0.05031031,0.02781672,2.8825684,1.5937806,990,569,137.48875
144,7.2,0.030280676,0.03609356,1.7349548,2.0680084,1106,524,137.48875
145,7.25,0.038162567,0.03260242,2.186554,1.8679808,1060,543,137.48875
146,7.3,0.02015214,0.035020303,1.1546326,2.0065155,1164,530,137.48875
147,7.35,0.022927154,0.037102897,1.313629,2.1258392,1154,528,131.17209
148,7.4,0.029198898,0.03729864,1.6729735,2.1370544,1120,527,131.17209
149,7.45,0.02493864,0.045890264,1.4288787,2.6293182,1143,482,131.17209
150,7.5,0.020608872,0.034704186,1.1808013,1.9884033,1167,540,131.17209
151,7.55,0.008354071,0.035197135,0.47865295,2.016647,1231,528,138.24837
152,7.6,0.010510166,0.02650591,0.6021881,1.5186766,1219,575,138.24837
