Frame,time,Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),x_cordinate,y_cordinate,Distance (cm)
156,7.8,0.0070256856,-0.15754223,0.4025421,-9.0265045,1255,1232,82.044914
157,7.85,0.010418819,-0.16788462,0.59695435,-9.61908,1244,1267,82.044914
158,7.9,0.00562939,-0.16239505,0.32254028,-9.30455,1260,1248,82.044914
159,7.95,0.0030011164,-0.16362064,0.1719513,-9.374771,1269,1252,82.044914
160,8.0,0.004316185,-0.16535753,0.24729918,-9.474288,1265,1258,82.044914
161,8.05,0.0046373624,-0.18137193,0.2657013,-10.391846,1263,1331,84.73287
162,8.1,0.004967328,-0.18121187,0.28460693,-10.382675,1262,1311,82.044914
163,8.15,-0.0073066493,-0.18562073,-0.41864014,-10.635283,1305,1326,82.044914
164,8.2,0.0013699301,-0.17366208,0.07849121,-9.950104,1275,1304,84.68882
165,8.25,0.00784514,-0.19055878,0.44949338,-10.918213,1253,1342,82.044914
166,8.3,-0.005840579,-0.16006131,-0.3346405,-9.170837,1300,1241,82.044914
167,8.35,-0.031188281,-0.19017793,-1.7869568,-10.896392,1390,1361,84.68882
168,8.4,-0.038986284,-0.19605847,-2.2337494,-11.233322,1413,1360,81.92512
169,8.45,-0.061498515,-0.16135481,-3.523605,-9.244949,1490,1245,82.044914
170,8.5,-0.060104884,-0.15759122,-3.443756,-9.029311,1486,1232,82.044914
171,8.55,-0.036282644,-0.18349819,-2.0788422,-10.513671,1404,1319,82.044914
172,8.6,-0.04359275,-0.20595983,-2.4976804,-11.800628,1424,1373,79.56103
173,8.65,-0.08286959,-0.20178427,-4.7480774,-11.561386,1564,1380,82.044914
174,8.7,-0.05047782,-0.19811124,-2.892166,-11.350937,1453,1368,82.044914
175,8.75,-0.04945224,-0.18622394,-2.8334045,-10.669846,1449,1328,82.044914
176,8.8,-0.047727045,-0.1904184,-2.734558,-10.910171,1443,1342,82.08497
177,8.85,-0.074508056,-0.19749019,-4.2689967,-11.315353,1535,1365,82.044914
178,8.9,-0.13862713,-0.18707615,-7.942749,-10.718674,1758,1331,82.08497
179,8.95,-0.098339625,-0.18497571,-5.634445,-10.598327,1618,1324,82.08497
180,9.0,-0.082091674,-0.19140059,-4.703506,-10.966445,1561,1345,82.044914
181,9.05,-0.09836865,-0.18748415,-5.6361084,-10.742049,1618,1332,82.044914
182,9.1,-0.11592634,-0.1773873,-6.64209,-10.163543,1678,1298,82.044914
183,9.15,-0.10368326,-0.18645297,-5.9406133,-10.682968,1636,1328,82.044914
184,9.2,-0.025150627,-0.16443422,-1.4410247,-9.421387,1363,1239,79.59754
185,9.25,-0.053751912,-0.16894987,-3.0797575,-9.680114,1464,1270,82.044914
186,9.3,-0.07930228,-0.1573108,-4.543686,-9.013245,1552,1232,82.044914
187,9.35,-0.073768236,-0.14282587,-4.2266083,-8.183319,1533,1184,82.044914
188,9.4,-0.06337791,-0.14204769,-3.6312866,-8.138733,1497,1181,82.044914
189,9.45,-0.07356397,-0.14433081,-4.214905,-8.2695465,1540,1204,84.68882
190,9.5,-0.026265161,-0.18366918,-1.5048828,-10.523468,1372,1338,84.68882
191,9.55,-0.0291981,-0.17110811,-1.6729279,-9.803772,1380,1278,82.08497
192,9.6,-0.05420412,-0.1340598,-3.105667,-7.6810603,1465,1155,82.044914
193,9.65,-0.08146397,-0.15551902,-4.6675415,-8.9105835,1559,1226,82.044914
194,9.7,-0.060203955,-0.15912761,-3.4494324,-9.11734,1480,1222,79.56103
195,9.75,-0.06941423,-0.14931066,-3.977142,-8.554871,1511,1190,79.56103
196,9.8,-0.0764527,-0.13721405,-4.380417,-7.8617854,1550,1180,84.68882
197,9.85,-0.06278882,-0.14013048,-3.5975342,-8.028884,1495,1174,81.92512
198,9.9,-0.12885945,-0.1079483,-7.383102,-6.184982,1723,1069,82.044914
199,9.95,-0.13794643,-0.060932063,-7.9037476,-3.49115,1771,923,84.68882
200,10.0,-0.14934954,-0.07537172,-8.557097,-4.3184814,1812,971,84.68882
201,10.05,-0.16974378,-0.097300455,-9.725601,-5.574905,1867,1035,82.044914
202,10.1,-0.15455842,-0.110103875,-8.855545,-6.308487,1813,1076,82.044914
203,10.15,-0.15431128,-0.10541324,-8.841385,-6.0397334,1812,1061,82.044914
204,10.2,-0.18313974,-0.110900424,-10.493134,-6.354126,1913,1078,81.92512
205,10.25,-0.15605752,-0.09107,-8.941437,-5.217926,1818,1014,81.92512
206,10.3,-0.15855902,-0.10155166,-9.084763,-5.818481,1827,1048,81.92512
207,10.35,-0.12409798,-0.1053765,-7.11029,-6.037628,1707,1061,82.044914
208,10.4,-0.17638117,-0.09428283,-10.105896,-5.402008,1890,1025,82.044914
209,10.45,-0.13507207,-0.08005622,-7.739059,-4.586883,1744,978,81.92512
210,10.5,-0.1405225,-0.08773784,-8.051346,-5.027008,1780,1013,84.68882
211,10.55,-0.15450622,-0.064141706,-8.852554,-3.6750488,1830,934,84.68882
212,10.6,-0.15527534,-0.06602509,-8.896622,-3.782959,1816,933,82.044914
213,10.65,-0.15813904,-0.04524045,-9.0606985,-2.5920868,1826,866,82.044914
214,10.7,-0.14020452,-0.061466556,-8.033127,-3.521774,1778,924,84.557076
215,10.75,-0.17027374,-0.0490549,-9.755966,-2.8106384,1869,878,82.044914
216,10.8,-0.16218518,-0.05013747,-9.292525,-2.8726654,1840,881,82.044914
217,10.85,-0.1495301,-0.049298044,-8.567443,-2.8245697,1796,879,82.044914
218,10.9,-0.15077567,-0.037051495,-8.638809,-2.1228943,1800,839,82.044914
219,10.95,-0.1469953,-0.041549843,-8.42221,-2.3806305,1787,854,82.044914
220,11.0,-0.14196327,-0.0449515,-8.133896,-2.575531,1769,865,82.044914
221,11.05,-0.15287611,-0.040500287,-8.759155,-2.3204954,1824,855,84.68882
222,11.1,-0.13680445,-0.050077286,-7.838317,-2.869217,1751,881,82.08497
223,11.15,-0.15461968,-0.0727565,-8.859055,-4.16864,1831,962,84.68882
224,11.2,-0.120272614,-0.10376795,-6.891113,-5.945465,1694,1056,82.044914
225,11.25,-0.11192068,-0.053213157,-6.412582,-3.0488892,1665,891,82.044914
226,11.3,-0.10996139,-0.04296451,-6.300323,-2.461685,1658,858,82.044914
227,11.35,-0.12470065,-0.035955872,-7.1448207,-2.0601196,1723,839,84.73287
228,11.4,-0.12976173,-0.06486608,-7.4347987,-3.7165525,1727,929,82.044914
229,11.45,-0.08850004,-0.06742858,-5.070678,-3.8633728,1584,937,82.044914
230,11.5,-0.12392594,-0.048677795,-7.100433,-2.789032,1706,877,82.044914
231,11.55,-0.1334084,-0.071304545,-7.643738,-4.085449,1739,950,82.044914
232,11.6,-0.11701637,-0.079003476,-6.7045436,-4.5265656,1682,975,82.044914
233,11.65,-0.14101386,-0.0706984,-8.079498,-4.0507197,1766,948,82.044914
234,11.7,-0.12347001,-0.0985588,-7.07431,-5.6470027,1705,1039,82.044914
235,11.75,-0.15141483,-0.09105241,-8.67543,-5.2169185,1819,1024,84.68882
236,11.8,-0.12482743,-0.077939,-7.1520844,-4.4655757,1709,972,82.044914
237,11.85,-0.12144574,-0.07338154,-6.958328,-4.2044525,1698,957,82.044914
238,11.9,-0.12817848,-0.07714858,-7.344085,-4.4202876,1721,969,82.044914
239,11.95,-0.12939209,-0.08426348,-7.41362,-4.8279414,1740,1001,84.68882
240,12.0,-0.119633466,-0.11493138,-6.854492,-6.585083,1705,1104,84.68882
241,12.05,-0.1213219,-0.12012748,-6.9512324,-6.8827972,1697,1109,81.92512
242,12.1,-0.13002804,-0.10372693,-7.4500575,-5.943115,1741,1066,84.557076
243,12.15,-0.12554541,-0.11113318,-7.193222,-6.3674617,1725,1091,84.557076
244,12.2,-0.12294297,-0.11912213,-7.0441127,-6.825195,1702,1105,81.92512
245,12.25,-0.1253132,-0.12390651,-7.179917,-7.0993195,1725,1134,84.68882
246,12.3,-0.12387268,-0.1180329,-7.0973816,-6.762787,1706,1102,82.044914
247,12.35,-0.1163615,-0.11620677,-6.667022,-6.6581573,1680,1096,82.044914
248,12.4,-0.10691873,-0.083811015,-6.125992,-4.802017,1647,991,82.044914
249,12.45,-0.11196036,-0.08200406,-6.4148555,-4.6984863,1665,985,82.044914
250,12.5,-0.104876086,-0.08089325,-6.008957,-4.6348414,1640,981,82.044914
251,12.55,-0.12101165,-0.105240144,-6.9334564,-6.0298157,1696,1060,82.044914
252,12.6,-0.14074993,-0.06820755,-8.064377,-3.9080043,1765,940,82.044914
253,12.65,-0.1252807,-0.090538956,-7.178055,-5.1875,1725,1022,84.68882
254,12.7,-0.12759446,-0.10287445,-7.3106236,-5.8942714,1733,1063,84.68882
255,12.75,-0.15322177,-0.08054278,-8.77896,-4.6147614,1809,980,82.044914
256,12.8,-0.14360191,-0.14491619,-8.227783,-8.303085,1775,1191,82.044914
257,12.85,-0.15191604,-0.06732072,-8.704147,-3.857193,1804,937,82.044914
258,12.9,-0.123279065,-0.09345085,-7.0633698,-5.354339,1718,1032,84.68882
259,12.95,-0.1178827,-0.09350412,-6.754181,-5.3573914,1685,1022,81.92512
260,13.0,-0.12535287,-0.073234,-7.1821904,-4.1959987,1711,956,82.044914
261,13.05,-0.12505539,-0.075989045,-7.1651454,-4.3538513,1710,965,82.044914
262,13.1,-0.13132074,-0.066849604,-7.524124,-3.8302,1732,936,82.044914
263,13.15,-0.14371723,-0.07011118,-8.23439,-4.0170746,1775,946,82.044914
264,13.2,-0.13166456,-0.0856952,-7.5438232,-4.909973,1733,997,82.044914
265,13.25,-0.1361693,-0.08020536,-7.8019257,-4.5954285,1749,979,82.044914
266,13.3,-0.13701378,-0.08026794,-7.850311,-4.5990143,1752,979,82.044914
267,13.35,-0.119114675,-0.123815686,-6.8247676,-7.0941157,1690,1121,82.044914
268,13.4,-0.3576916,-0.23305003,-20.494217,-13.352782,2559,1439,82.044914
269,13.45,-0.48895052,-0.32030213,-28.0148,-18.35196,2559,1439,82.044914
270,13.5,-0.5565791,-0.16938823,-31.889633,-9.705231,2559,1272,82.044914
271,13.55,-0.33890855,-0.1738565,-19.418028,-9.961243,2488,1287,82.08497
272,13.6,-0.2719077,-0.13063018,-15.579162,-7.4845576,2266,1157,84.73287
273,13.65,-0.2018282,-0.061982945,-11.563903,-3.5513608,1981,920,82.08497
274,13.7,-0.19306454,-0.09742217,-11.061783,-5.5818787,1949,1035,82.044914
275,13.75,-0.20777583,-0.06690713,-11.904677,-3.8334959,2002,936,82.044914
276,13.8,-0.18483695,-0.08798712,-10.590377,-5.0412903,1920,1004,82.044914
277,13.85,-0.18245663,-0.09495608,-10.453994,-5.4405823,1912,1027,82.044914
278,13.9,-0.17546716,-0.08595539,-10.053527,-4.9248805,1887,998,82.044914
279,13.95,-0.18055408,-0.09204044,-10.344986,-5.2735286,1905,1017,82.044914
280,14.0,-0.19672158,-0.09070993,-11.271316,-5.197296,1962,1013,82.044914
281,14.05,-0.19941404,-0.10379804,-11.425583,-5.9471893,1972,1056,82.044914
282,14.1,-0.20061567,-0.11098644,-11.494431,-6.359054,1975,1079,81.92512
283,14.15,-0.19243391,-0.094028495,-11.02565,-5.3874354,1946,1023,81.92512
284,14.2,-0.20383944,-0.089582875,-11.679139,-5.1327205,1988,1009,82.044914
285,14.25,-0.20035894,-0.09969118,-11.479721,-5.7118835,1975,1042,82.044914
286,14.3,-0.20526847,-0.070296004,-11.761017,-4.027664,1993,947,82.044914
287,14.35,-0.19513676,-0.06843419,-11.180511,-3.9209898,1957,941,82.044914
288,14.4,-0.19342513,-0.06006813,-11.082443,-3.4416502,1951,914,82.044914
289,14.45,-0.18694432,-0.084368676,-10.71112,-4.8339686,1928,992,82.044914
290,14.5,-0.1966385,-0.0604977,-11.266555,-3.4662628,1962,915,82.044914
291,14.55,-0.20624958,-0.05201234,-11.81723,-2.9800873,1995,887,81.92512
292,14.6,-0.17096668,-0.07940215,-9.795669,-4.549408,1871,976,82.044914
293,14.65,-0.18528357,-0.068254426,-10.615966,-3.9106903,1921,940,81.92512
294,14.7,-0.18488225,-0.06726346,-10.592972,-3.8539124,1920,937,82.044914
295,14.75,-0.19120567,-0.026489133,-10.955277,-1.5177155,1943,805,82.044914
296,14.8,-0.18570809,-0.056548234,-10.640289,-3.239975,1923,902,82.044914
297,14.85,-0.18735817,-0.051689025,-10.734832,-2.9615629,1929,887,82.044914
298,14.9,-0.2028679,-0.050543334,-11.623473,-2.8959196,1984,883,82.044914
